T_K,k_W_per_mK
215.53072625698323,139.90907434366378
217.0949720670391,140.27876781761125
218.65921787709496,140.64470273691543
220.22346368715083,141.00692002385466
221.7877094972067,141.36545984918965
223.35195530726256,141.72036165082193
224.91620111731842,142.07166415189627
226.4804469273743,142.41940537836496
228.04469273743015,142.76362267603295
229.60893854748602,143.10435272709987
231.17318435754188,143.44163156621974
232.73743016759775,143.77549459609085
234.30167597765362,144.10597660259614
235.86592178770948,144.43311176950039
237.43016759776535,144.7569336927341
238.9944134078212,145.07747539425932
240.55865921787708,145.39476933555005
242.12290502793294,145.70884743068336
243.6871508379888,146.0197410590648
245.25139664804468,146.32748107779898
246.81564245810054,146.63209783370908
248.3798882681564,146.93362117502522
249.94413407821227,147.232080462753
251.50837988826814,147.52750458172008
253.072625698324,147.8199219513303
254.63687150837987,148.10936053601452
256.20111731843576,148.39584785540544
257.7653631284916,148.67941099423126
259.3296089385475,148.96007661194605
260.8938547486033,149.23787095210287
262.4581005586592,149.5128198514748
264.02234636871503,149.78494874893127
265.58659217877096,150.05428269408665
267.15083798882677,150.3208463557127
268.7150837988827,150.58466402994003
270.2793296089385,150.84575964823316
271.8435754189944,151.10415678516947
273.4078212290502,151.35987866601292
274.97206703910615,151.6129481740903
276.536312849162,151.86338785797952
278.1005586592179,152.11121993851836
279.66480446927375,152.3564663156276
281.2290502793296,152.59914857496517
282.7932960893855,152.83928799441844
284.35754189944134,153.07690555041762
285.9217877094972,153.31202192410885
287.4860335195531,153.54465750736279
289.05027932960894,153.77483240863648
290.6145251396648,154.00256645869166
292.1787709497207,154.22787921617146
293.74301675977654,154.4507899730428
295.3072625698324,154.67131775989765
296.87150837988827,154.88948135114086
298.43575418994413,155.10529927003367
300.0,155.318789793632
