T_K,sigma_y_MPa
440.87150837988827,173.1504389465283
442.2067039106145,171.95830007980845
443.5418994413408,170.7661612130886
444.8770949720671,169.57402234636865
446.2122905027933,168.38188347964885
447.5474860335196,167.18974461292893
448.8826815642458,165.9976057462091
450.2178770949721,164.80546687948922
451.55307262569835,163.61332801276933
452.8882681564246,162.42118914604947
454.22346368715085,161.22905027932958
455.5586592178771,160.03691141260973
456.89385474860336,158.84477254588984
458.2290502793296,157.65263367916998
459.56424581005587,156.4604948124501
460.8994413407821,155.26835594573026
462.2346368715084,154.07621707901032
463.5698324022346,152.88407821229052
464.90502793296093,151.69193934557057
466.24022346368713,150.49980047885077
467.57541899441344,149.30766161213086
468.91061452513964,148.11552274541103
470.24581005586595,146.92338387869114
471.5810055865922,145.73124501197123
472.91620111731845,144.5391061452514
474.2513966480447,143.3469672785315
475.58659217877096,142.15482841181165
476.9217877094972,140.96268954509176
478.25698324022346,139.76637887252411
479.5921787709498,138.55256475368202
480.92737430167597,137.33875063484004
482.2625698324023,136.12493651599792
483.5977653631285,134.91112239715594
484.9329608938548,133.6973082783138
486.268156424581,132.48349415947183
487.6033519553073,131.26968004062974
488.93854748603354,130.0558659217877
490.2737430167598,128.84205180294563
491.60893854748605,127.62823768410358
492.9441340782123,126.41442356526154
494.27932960893855,125.20060944641949
495.6145251396648,123.98679532757744
496.9497206703911,122.77298120873535
498.2849162011173,121.55916708989335
499.6201117318436,120.34535297105124
500.9553072625698,119.13153885220925
502.2905027932961,117.91772473336715
503.6256983240223,116.70391061452517
504.96089385474863,115.49009649568305
506.2960893854749,114.27628237684101
507.63128491620114,113.06246825799897
508.9664804469274,111.84865413915692
510.30167597765364,110.63484002031487
511.6368715083799,109.42102590147282
512.9720670391062,108.20721178263076
514.3072625698323,106.99339766378877
515.6424581005587,105.77958354494666
516.977653631285,104.56576942610457
518.3128491620112,103.35195530726259
519.6480446927375,102.13814118842048
520.9832402234637,100.92432706957848
522.31843575419,99.71051295073639
523.6536312849162,98.49669883189439
524.9888268156425,97.28288471305228
526.3240223463688,96.06907059421019
527.659217877095,94.8552564753682
528.9944134078212,93.6414423565262
530.3296089385475,92.42762823768409
531.6648044692738,91.213814118842
533.0,90.0
