T_K,k_clamp_W_per_mK,k_extrapolate_W_per_mK
501.36986301369865,309.2114872953891,309.2114872953891
505.93607305936075,308.67348594586394,308.67348594586394
510.50228310502285,308.131811012808,308.131811012808
515.068493150685,307.58649821205694,307.58649821205694
519.6347031963471,307.03758325944665,307.03758325944665
524.2009132420092,306.4851018708129,306.4851018708129
528.7671232876712,305.9290897619915,305.9290897619915
533.3333333333334,305.3695826488183,305.3695826488183
537.8995433789955,304.806616247129,304.806616247129
542.4657534246576,304.24022627275957,304.24022627275957
547.0319634703196,303.6704484415456,303.6704484415456
551.5981735159817,303.0973184693231,303.0973184693231
556.1643835616438,302.5208720719277,302.5208720719277
560.730593607306,301.9411449651954,301.9411449651954
565.296803652968,301.35817286496183,301.35817286496183
569.8630136986301,300.77199148706285,300.77199148706285
574.4292237442922,300.18263654733437,300.18263654733437
578.9954337899544,299.59014376161196,299.59014376161196
583.5616438356165,298.9945488457317,298.9945488457317
588.1278538812785,298.3958875155291,298.3958875155291
592.6940639269407,297.79419548684024,297.79419548684024
597.2602739726028,297.1895084755007,297.1895084755007
601.8264840182649,296.5818621973465,296.5818621973465
606.3926940639269,295.9712923682133,295.9712923682133
610.9589041095891,295.35783470393693,295.35783470393693
615.5251141552512,294.74152492035324,294.74152492035324
620.0913242009133,294.1223987332979,294.1223987332979
624.6575342465753,293.50049185860695,293.50049185860695
629.2237442922375,292.875840012116,292.875840012116
633.7899543378996,292.2484789096609,292.2484789096609
638.3561643835617,291.6184442670775,291.6184442670775
642.9223744292237,290.9857718002015,290.9857718002015
647.4885844748858,290.3504972248689,290.3504972248689
652.054794520548,289.712556919123,289.712556919123
656.6210045662101,289.07124339149124,289.07124339149124
661.1872146118722,288.4264173409505,288.4264173409505
665.7534246575342,287.77808644644284,287.77808644644284
670.3196347031964,287.1262583869105,287.1262583869105
674.8858447488585,286.47094084129577,286.47094084129577
679.4520547945206,285.812141488541,285.812141488541
684.0182648401826,285.1498680075882,285.1498680075882
688.5844748858448,284.4841280773798,284.4841280773798
693.1506849315069,283.8149293768579,283.8149293768579
697.716894977169,283.1422795849649,283.1422795849649
702.283105022831,282.46618638064285,282.46618638064285
706.8493150684932,281.7866574428341,281.7866574428341
711.4155251141553,281.1037004504808,281.1037004504808
715.9817351598174,280.4173230825253,280.4173230825253
720.5479452054794,279.72753301790965,279.72753301790965
725.1141552511416,279.03433793557633,279.03433793557633
729.6803652968036,278.3377455144674,278.3377455144674
734.2465753424658,277.63776343352515,277.63776343352515
738.8127853881278,276.9343993716919,276.9343993716919
743.37899543379,276.22766100790966,276.22766100790966
747.945205479452,275.5175560211209,275.5175560211209
752.5114155251142,274.8040920902677,274.8040920902677
757.0776255707763,274.0872768942925,274.0872768942925
761.6438356164384,273.3671181121372,273.3671181121372
766.2100456621005,272.6436234227444,272.6436234227444
770.7762557077626,271.916800505056,271.916800505056
775.3424657534247,271.1866570380146,271.1866570380146
779.9086757990868,270.4532007005621,270.4532007005621
784.4748858447489,269.7164391716409,269.7164391716409
789.0410958904109,268.9763801301932,268.9763801301932
793.6073059360731,268.2330312551613,268.2330312551613
798.1735159817351,267.48640022548733,267.48640022548733
802.7397260273973,266.73649472011357,266.73649472011357
807.3059360730593,265.98332241798227,265.98332241798227
811.8721461187215,265.2268909980357,265.2268909980357
816.4383561643835,264.467208139216,264.467208139216
821.0045662100457,263.7042815204655,263.7042815204655
825.5707762557078,262.9381188207264,262.9381188207264
830.1369863013699,262.1687277189409,262.1687277189409
834.703196347032,261.3961158940513,261.3961158940513
839.2694063926941,260.62029102499974,260.62029102499974
843.8356164383562,259.84126079072865,259.84126079072865
848.4018264840183,259.05903287018003,259.05903287018003
852.9680365296804,258.27361494229626,258.27361494229626
857.5342465753425,257.4850146860195,257.4850146860195
862.1004566210046,256.69323978029206,256.69323978029206
866.6666666666667,255.8982979040561,255.8982979040561
871.2328767123288,255.10019673625396,255.10019673625396
875.799086757991,254.29894395582775,254.29894395582775
880.365296803653,253.49454724171977,253.49454724171977
884.931506849315,252.68701427287232,252.68701427287232
889.4977168949772,251.87635272822752,251.87635272822752
894.0639269406392,251.06257028672763,251.06257028672763
898.6301369863014,250.24567462731494,250.24567462731494
903.1963470319635,249.99999999999997,249.42567342893167
907.7625570776256,249.99999999999997,248.60257437052
912.3287671232877,249.99999999999997,247.77638513102224
916.8949771689498,249.99999999999997,246.94711338938055
921.4611872146119,249.99999999999997,246.1147668245373
926.027397260274,249.99999999999997,245.27935311543453
930.5936073059361,249.99999999999997,244.44087994101463
935.1598173515982,249.99999999999997,243.59935498021977
939.7260273972603,249.99999999999997,242.75478591199226
944.2922374429224,249.99999999999997,241.9071804152742
948.8584474885845,249.99999999999997,241.05654616900796
953.4246575342466,249.99999999999997,240.20289085213568
957.9908675799087,249.99999999999997,239.34622214359965
962.5570776255709,249.99999999999997,238.4865477223421
967.1232876712329,249.99999999999997,237.62387526730524
971.6894977168951,249.99999999999997,236.75821245743134
976.2557077625571,249.99999999999997,235.88956697166265
980.8219178082192,249.99999999999997,235.01794648894133
985.3881278538813,249.99999999999997,234.14335868820967
989.9543378995434,249.99999999999997,233.26581124840988
994.5205479452055,249.99999999999997,232.3853118484842
999.0867579908676,249.99999999999997,231.50186816737494
1003.6529680365297,249.99999999999997,230.61548788402425
1008.2191780821918,249.99999999999997,229.7261786773744
1012.7853881278539,249.99999999999997,228.83394822636754
1017.351598173516,249.99999999999997,227.9388042099461
1021.9178082191781,249.99999999999997,227.0407543070521
1026.4840182648402,249.99999999999997,226.13980619662797
1031.0502283105025,249.99999999999997,225.2359675576157
1035.6164383561645,249.99999999999997,224.3292460689578
1040.1826484018266,249.99999999999997,223.41964940959636
1044.7488584474886,249.99999999999997,222.5071852584736
1049.3150684931506,249.99999999999997,221.59186129453184
1053.8812785388127,249.99999999999997,220.67368519671328
1058.447488584475,249.99999999999997,219.75266464396006
1063.013698630137,249.99999999999997,218.82880731521456
1067.5799086757993,249.99999999999997,217.9021208894189
1072.1461187214613,249.99999999999997,216.9726130455154
1076.7123287671234,249.99999999999997,216.0402914624463
1081.2785388127854,249.99999999999997,215.1051638191538
1085.8447488584475,249.99999999999997,214.16723779458016
1090.4109589041095,249.99999999999997,213.22652106766756
1094.9771689497716,249.99999999999997,212.2830213173583
1099.5433789954338,249.99999999999997,211.3367462225945
1104.109589041096,249.99999999999997,210.3877034623186
1108.6757990867582,249.99999999999997,209.4359007154726
1113.2420091324202,249.99999999999997,208.48134566099893
1117.8082191780823,249.99999999999997,207.52404597783973
1122.3744292237443,249.99999999999997,206.56400934493726
